Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;12974;NULL;NULL;6;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:59.2313
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;12974;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:59.2318
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;12974;NULL;NULL;NULL;NULL;17.0000;4.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;3;2023-05-10 12:15:59.2328
NULL;8;NULL;NULL;NULL;anonymous;BciSuccess;12974;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:15:59.2333
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;13238;NULL;NULL;7;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:16:06.2536
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;13238;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:16:06.2536
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;13238;NULL;NULL;NULL;NULL;17.0000;6.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;3;2023-05-10 12:16:06.2546
NULL;9;NULL;NULL;NULL;anonymous;BciSuccess;13238;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:16:06.2546
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;13532;NULL;NULL;8;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:16:13.8925
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;13532;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:16:13.8925
